trans_id,lang,translation,category,station_sid,course_sid
緑ヶ丘入口,en,Midorigaoka-iriguchi,stop_name,749afd08-1bf6-45b0-853d-991df3ea8152,
緑ヶ丘入口,ko,미도리가오카 이리구치,stop_name,749afd08-1bf6-45b0-853d-991df3ea8152,
緑ヶ丘入口,zh-cn,绿丘入口,stop_name,749afd08-1bf6-45b0-853d-991df3ea8152,
緑ヶ丘入口,zh-tw,綠丘入口,stop_name,749afd08-1bf6-45b0-853d-991df3ea8152,
緑ケ丘入口,ja,緑ケ丘入口,stop_name,749afd08-1bf6-45b0-853d-991df3ea8152,
緑ケ丘入口,ja-Hrkt,みどりがおかいりぐち,stop_name,749afd08-1bf6-45b0-853d-991df3ea8152,
緑ケ丘入口,en,Midorigaoka-iriguchi,stop_name,749afd08-1bf6-45b0-853d-991df3ea8152,
緑ケ丘入口,ko,미도리가오카 이리구치,stop_name,749afd08-1bf6-45b0-853d-991df3ea8152,
緑ケ丘入口,zh-cn,绿丘入口,stop_name,749afd08-1bf6-45b0-853d-991df3ea8152,
緑ケ丘入口,zh-tw,綠丘入口,stop_name,749afd08-1bf6-45b0-853d-991df3ea8152,
やまなみ,ja,やまなみ,stop_name,15ba3853-bc9c-4494-8b96-eff405453c6a,
やまなみ,ja-Hrkt,やまなみ,stop_name,15ba3853-bc9c-4494-8b96-eff405453c6a,
やまなみ,en,Yamanami,stop_name,15ba3853-bc9c-4494-8b96-eff405453c6a,
やまなみ,ko,야마나미,stop_name,15ba3853-bc9c-4494-8b96-eff405453c6a,
やまなみ,zh-cn,Yamanami,stop_name,15ba3853-bc9c-4494-8b96-eff405453c6a,
やまなみ,zh-tw,Yamanami,stop_name,15ba3853-bc9c-4494-8b96-eff405453c6a,
広電己斐団地,ja,広電己斐団地,stop_name,bdcc9a90-483f-4b57-ae60-3c7d626a4648,
広電己斐団地,ja-Hrkt,ひろでんこいだんち,stop_name,bdcc9a90-483f-4b57-ae60-3c7d626a4648,
広電己斐団地,en,Hiroden Koi Danchi,stop_name,bdcc9a90-483f-4b57-ae60-3c7d626a4648,
広電己斐団地,ko,히로덴 코이 단치,stop_name,bdcc9a90-483f-4b57-ae60-3c7d626a4648,
広電己斐団地,zh-cn,广电己斐团地,stop_name,bdcc9a90-483f-4b57-ae60-3c7d626a4648,
広電己斐団地,zh-tw,廣電己斐團地,stop_name,bdcc9a90-483f-4b57-ae60-3c7d626a4648,
国迫団地,ja,国迫団地,stop_name,568c2725-eca8-4e88-91ad-d6bcc94a2963,
国迫団地,ja-Hrkt,くにさこだんち,stop_name,568c2725-eca8-4e88-91ad-d6bcc94a2963,
国迫団地,en,Kunisako Danchi,stop_name,568c2725-eca8-4e88-91ad-d6bcc94a2963,
国迫団地,ko,구니사코 단치,stop_name,568c2725-eca8-4e88-91ad-d6bcc94a2963,
国迫団地,zh-cn,国迫团地,stop_name,568c2725-eca8-4e88-91ad-d6bcc94a2963,
国迫団地,zh-tw,國迫團地,stop_name,568c2725-eca8-4e88-91ad-d6bcc94a2963,
大迫団地下,ja,大迫団地下,stop_name,de366f62-18ea-46ac-9052-f2c22888ff86,
大迫団地下,ja-Hrkt,おおさこだんちしも,stop_name,de366f62-18ea-46ac-9052-f2c22888ff86,
大迫団地下,en,Osako Danchi-shimo,stop_name,de366f62-18ea-46ac-9052-f2c22888ff86,
大迫団地下,ko,오사코 단치 시모,stop_name,de366f62-18ea-46ac-9052-f2c22888ff86,
大迫団地下,zh-cn,大迫团地下,stop_name,de366f62-18ea-46ac-9052-f2c22888ff86,
大迫団地下,zh-tw,大迫團地下,stop_name,de366f62-18ea-46ac-9052-f2c22888ff86,
大迫団地,ja,大迫団地,stop_name,371d950a-5497-415f-b97f-c62db2791928,
大迫団地,ja-Hrkt,おおさこだんち,stop_name,371d950a-5497-415f-b97f-c62db2791928,
大迫団地,en,Osakodanchi,stop_name,371d950a-5497-415f-b97f-c62db2791928,
明山台下,ja,明山台下,stop_name,9184ad23-8bf6-47de-a122-bdd6bc75329f,
明山台下,ja-Hrkt,あけやまだいしも,stop_name,9184ad23-8bf6-47de-a122-bdd6bc75329f,
明山台下,en,Akeyamadai-shimo,stop_name,9184ad23-8bf6-47de-a122-bdd6bc75329f,
明山台下,ko,아케야마다이 시모,stop_name,9184ad23-8bf6-47de-a122-bdd6bc75329f,
明山台下,zh-cn,明山台下,stop_name,9184ad23-8bf6-47de-a122-bdd6bc75329f,
