table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,zh-tw,新尾道站,120 10,,
stops,stop_name,ja,新尾道駅,120 2,,
stops,stop_name,ja-Hrkt,シンオノミチエキ,120 2,,
stops,stop_name,en,Shin-onomichi Sta.,120 2,,
stops,stop_name,ko,신오노미치 역,120 2,,
stops,stop_name,zh-cn,新尾道站,120 2,,
stops,stop_name,zh-tw,新尾道站,120 2,,
stops,stop_name,ja,新尾道駅,120 3,,
stops,stop_name,ja-Hrkt,シンオノミチエキ,120 3,,
stops,stop_name,en,Shin-onomichi Sta.,120 3,,
stops,stop_name,ko,신오노미치 역,120 3,,
stops,stop_name,zh-cn,新尾道站,120 3,,
stops,stop_name,zh-tw,新尾道站,120 3,,
stops,stop_name,ja,亀川局前,121 1,,
stops,stop_name,ja-Hrkt,カメガワキョクマエ,121 1,,
stops,stop_name,en,Kamegawakyoku-mae,121 1,,
stops,stop_name,ko,가메가와쿄쿠 마에,121 1,,
stops,stop_name,zh-cn,龟川局前,121 1,,
stops,stop_name,zh-tw,龜川局前,121 1,,
stops,stop_name,ja,亀川局前,121 2,,
stops,stop_name,ja-Hrkt,カメガワキョクマエ,121 2,,
stops,stop_name,en,Kamegawakyoku-mae,121 2,,
stops,stop_name,ko,가메가와쿄쿠 마에,121 2,,
stops,stop_name,zh-cn,龟川局前,121 2,,
stops,stop_name,zh-tw,龜川局前,121 2,,
stops,stop_name,ja,新開,122 1,,
stops,stop_name,ja-Hrkt,シンガイ,122 1,,
stops,stop_name,en,Shingai,122 1,,
stops,stop_name,ko,신가이,122 1,,
stops,stop_name,zh-cn,新开,122 1,,
stops,stop_name,zh-tw,新開,122 1,,
stops,stop_name,ja,神社前,123 1,,
stops,stop_name,ja-Hrkt,ジンジャマエ,123 1,,
stops,stop_name,en,Jinja-mae (Shrine),123 1,,
stops,stop_name,ko,신사,123 1,,
stops,stop_name,zh-cn,神社前,123 1,,
stops,stop_name,zh-tw,神社前,123 1,,
stops,stop_name,ja,新高山一丁目,124 1,,
stops,stop_name,ja-Hrkt,シンタカヤマイッチョ,124 1,,
stops,stop_name,en,Shintakayama-itchome (Shintakayama 1),124 1,,
stops,stop_name,ko,신타카야마 1초메,124 1,,
stops,stop_name,zh-cn,新高山一丁目,124 1,,
stops,stop_name,zh-tw,新高山一丁目,124 1,,
stops,stop_name,ja,新高山一丁目,124 2,,
stops,stop_name,ja-Hrkt,シンタカヤマイッチョ,124 2,,
stops,stop_name,en,Shintakayama-itchome (Shintakayama 1),124 2,,
stops,stop_name,ko,신타카야마 1초메,124 2,,
stops,stop_name,zh-cn,新高山一丁目,124 2,,
stops,stop_name,zh-tw,新高山一丁目,124 2,,
stops,stop_name,ja,新高山市営住宅前,125 1,,
stops,stop_name,ja-Hrkt,シンタカヤマシエイジ,125 1,,
stops,stop_name,en,Shintakayama Shiei Jutaku-mae,125 1,,
stops,stop_name,ko,신타카야마 시에이주타쿠 마에,125 1,,
stops,stop_name,zh-cn,新高山市营住宅前,125 1,,
stops,stop_name,zh-tw,新高山市營住宅前,125 1,,
stops,stop_name,ja,新高山市営住宅前,125 2,,
stops,stop_name,ja-Hrkt,シンタカヤマシエイジ,125 2,,
stops,stop_name,en,Shintakayama Shiei Jutaku-mae,125 2,,
stops,stop_name,ko,신타카야마 시에이주타쿠 마에,125 2,,
stops,stop_name,zh-cn,新高山市营住宅前,125 2,,
stops,stop_name,zh-tw,新高山市營住宅前,125 2,,
stops,stop_name,ja,新高山市営住宅前,125 3,,
stops,stop_name,ja-Hrkt,シンタカヤマシエイジ,125 3,,
stops,stop_name,en,Shintakayama Shiei Jutaku-mae,125 3,,
stops,stop_name,ko,신타카야마 시에이주타쿠 마에,125 3,,
stops,stop_name,zh-cn,新高山市营住宅前,125 3,,
stops,stop_name,zh-tw,新高山市營住宅前,125 3,,
