table_name,field_name,language,translation,record_id,record_sub_id,field_value,station_sid,course_sid
stops,stop_name,zh-tw,今宮,11 1,,,c5e55657-e598-4477-a93a-5d8439a7382c,
stops,stop_name,ja,今宮,11 2,,,660428ab-0a11-4f2d-a7c9-169dca61ed5d,
stops,stop_name,ja-Hrkt,イマミヤ,11 2,,,660428ab-0a11-4f2d-a7c9-169dca61ed5d,
stops,stop_name,en,Imamiya,11 2,,,660428ab-0a11-4f2d-a7c9-169dca61ed5d,
stops,stop_name,ko,이마미야,11 2,,,660428ab-0a11-4f2d-a7c9-169dca61ed5d,
stops,stop_name,zh-cn,今宫,11 2,,,660428ab-0a11-4f2d-a7c9-169dca61ed5d,
stops,stop_name,zh-tw,今宮,11 2,,,660428ab-0a11-4f2d-a7c9-169dca61ed5d,
stops,stop_name,ja,市民病院,111 1,,,8b9c1509-cea2-4ec5-ac5a-e4adbc883050,
stops,stop_name,ja-Hrkt,シミンビョウイン,111 1,,,8b9c1509-cea2-4ec5-ac5a-e4adbc883050,
stops,stop_name,en,Shimin Byoin (City Hospital),111 1,,,8b9c1509-cea2-4ec5-ac5a-e4adbc883050,
stops,stop_name,ko,시민병원,111 1,,,8b9c1509-cea2-4ec5-ac5a-e4adbc883050,
stops,stop_name,zh-cn,市民医院,111 1,,,8b9c1509-cea2-4ec5-ac5a-e4adbc883050,
stops,stop_name,zh-tw,市民醫院,111 1,,,8b9c1509-cea2-4ec5-ac5a-e4adbc883050,
stops,stop_name,ja,市民病院,111 10,,,66166fe0-d843-4698-a970-762b086915b0,
stops,stop_name,ja-Hrkt,シミンビョウイン,111 10,,,66166fe0-d843-4698-a970-762b086915b0,
stops,stop_name,en,Shimin Byoin (City Hospital),111 10,,,66166fe0-d843-4698-a970-762b086915b0,
stops,stop_name,ko,시민병원,111 10,,,66166fe0-d843-4698-a970-762b086915b0,
stops,stop_name,zh-cn,市民医院,111 10,,,66166fe0-d843-4698-a970-762b086915b0,
stops,stop_name,zh-tw,市民醫院,111 10,,,66166fe0-d843-4698-a970-762b086915b0,
