trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,06:46:00,06:46:00,5950 1,3,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,06:47:00,06:47:00,5940 1,4,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,06:48:00,06:48:00,5930 1,5,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,06:48:00,06:48:00,5920 1,6,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,06:49:00,06:49:00,5910 1,7,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,06:50:00,06:50:00,5900 1,8,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,06:50:00,06:50:00,5890 1,9,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,06:51:00,06:51:00,5880 1,10,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,06:51:00,06:51:00,5870 1,11,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,06:52:00,06:52:00,5860 1,12,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,06:52:00,06:52:00,5850 1,13,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,06:53:00,06:53:00,5840 1,14,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,06:53:00,06:53:00,5830 1,15,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,06:54:00,06:54:00,5820 1,16,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,06:55:00,06:55:00,5810 1,17,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,06:55:00,06:55:00,5800 1,18,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,06:56:00,06:56:00,5790 1,19,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,06:56:00,06:56:00,5780 3,20,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,06:57:00,06:57:00,6030 1,21,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,06:57:00,06:57:00,6020 1,22,熊野営業所,0,0,,
