table_name,field_name,language,translation,record_id,record_sub_id,field_value,station_sid,course_sid
stops,stop_name,ja,下初神,5820 2,,,9df131a7-ae14-4f0a-a36d-75d15f49fe44,
stops,stop_name,ja-Hrkt,しもはつかみ,5820 2,,,9df131a7-ae14-4f0a-a36d-75d15f49fe44,
stops,stop_name,en,Shimo-hatsugami,5820 2,,,9df131a7-ae14-4f0a-a36d-75d15f49fe44,
stops,stop_name,ko,시모하쓰가미,5820 2,,,9df131a7-ae14-4f0a-a36d-75d15f49fe44,
stops,stop_name,zh-cn,下初神,5820 2,,,9df131a7-ae14-4f0a-a36d-75d15f49fe44,
stops,stop_name,zh-tw,下初神,5820 2,,,9df131a7-ae14-4f0a-a36d-75d15f49fe44,
stops,stop_name,ja,東初神,5830 1,,,9096c94b-bafa-441d-8bbc-c9bc391c200e,
stops,stop_name,ja-Hrkt,ひがしはつかみ,5830 1,,,9096c94b-bafa-441d-8bbc-c9bc391c200e,
stops,stop_name,en,Higashi-hatsugami,5830 1,,,9096c94b-bafa-441d-8bbc-c9bc391c200e,
stops,stop_name,ko,히가시하쓰가미,5830 1,,,9096c94b-bafa-441d-8bbc-c9bc391c200e,
stops,stop_name,zh-cn,东初神,5830 1,,,9096c94b-bafa-441d-8bbc-c9bc391c200e,
stops,stop_name,zh-tw,東初神,5830 1,,,9096c94b-bafa-441d-8bbc-c9bc391c200e,
stops,stop_name,ja,東初神,5830 2,,,f4e7cba0-a9e4-4814-876a-327fc4ac99c5,
stops,stop_name,ja-Hrkt,ひがしはつかみ,5830 2,,,f4e7cba0-a9e4-4814-876a-327fc4ac99c5,
stops,stop_name,en,Higashi-hatsugami,5830 2,,,f4e7cba0-a9e4-4814-876a-327fc4ac99c5,
stops,stop_name,ko,히가시하쓰가미,5830 2,,,f4e7cba0-a9e4-4814-876a-327fc4ac99c5,
stops,stop_name,zh-cn,东初神,5830 2,,,f4e7cba0-a9e4-4814-876a-327fc4ac99c5,
stops,stop_name,zh-tw,東初神,5830 2,,,f4e7cba0-a9e4-4814-876a-327fc4ac99c5,
stops,stop_name,ja,西追分,5840 1,,,049bbd24-387e-443c-8726-58892a616639,
stops,stop_name,ja-Hrkt,にしおいわけ,5840 1,,,049bbd24-387e-443c-8726-58892a616639,
stops,stop_name,en,Nishi-oiwake,5840 1,,,049bbd24-387e-443c-8726-58892a616639,
stops,stop_name,ko,니시오이와케,5840 1,,,049bbd24-387e-443c-8726-58892a616639,
stops,stop_name,zh-cn,西追分,5840 1,,,049bbd24-387e-443c-8726-58892a616639,
stops,stop_name,zh-tw,西追分,5840 1,,,049bbd24-387e-443c-8726-58892a616639,
stops,stop_name,ja,西追分,5840 2,,,e4cb34bc-5cfc-42ad-8eda-cc8794315865,
stops,stop_name,ja-Hrkt,にしおいわけ,5840 2,,,e4cb34bc-5cfc-42ad-8eda-cc8794315865,
stops,stop_name,en,Nishi-oiwake,5840 2,,,e4cb34bc-5cfc-42ad-8eda-cc8794315865,
stops,stop_name,ko,니시오이와케,5840 2,,,e4cb34bc-5cfc-42ad-8eda-cc8794315865,
stops,stop_name,zh-cn,西追分,5840 2,,,e4cb34bc-5cfc-42ad-8eda-cc8794315865,
stops,stop_name,zh-tw,西追分,5840 2,,,e4cb34bc-5cfc-42ad-8eda-cc8794315865,
stops,stop_name,ja,追分,5850 1,,,78506408-45e4-41e9-b4ca-93980803d1b6,
stops,stop_name,ja-Hrkt,おいわけ,5850 1,,,78506408-45e4-41e9-b4ca-93980803d1b6,
stops,stop_name,en,Oiwake,5850 1,,,78506408-45e4-41e9-b4ca-93980803d1b6,
stops,stop_name,ko,오이와케,5850 1,,,78506408-45e4-41e9-b4ca-93980803d1b6,
stops,stop_name,zh-cn,追分,5850 1,,,78506408-45e4-41e9-b4ca-93980803d1b6,
stops,stop_name,zh-tw,追分,5850 1,,,78506408-45e4-41e9-b4ca-93980803d1b6,
stops,stop_name,ja,追分,5850 2,,,97cd30c0-dfce-41c3-ad14-7d4b1403daad,
stops,stop_name,ja-Hrkt,おいわけ,5850 2,,,97cd30c0-dfce-41c3-ad14-7d4b1403daad,
stops,stop_name,en,Oiwake,5850 2,,,97cd30c0-dfce-41c3-ad14-7d4b1403daad,
