fare_id,route_id,origin_id,destination_id,contains_id
3240001025473_230_00,3564786346,5840 1,6020 2,
3240001025473_240_00,3564786346,5780 4,5860 2,
3240001025473_240_00,3564786346,6030 2,5870 2,
3240001025473_240_00,3564786346,6030 2,5860 2,
3240001025473_240_00,3564786346,5860 1,5780 3,
3240001025473_240_00,3564786346,5870 1,5780 3,
3240001025473_240_00,3564786346,5780 4,5870 2,
3240001025473_240_00,3564786346,5860 1,6030 1,
3240001025473_240_00,3564786346,5870 1,6030 1,
3240001025473_250_00,3564786346,5800 2,5890 2,
3240001025473_250_00,3564786346,5870 2,5970 2,
3240001025473_250_00,3564786346,5810 2,5900 2,
3240001025473_250_00,3564786346,5800 1,5700 1,
3240001025473_250_00,3564786346,5780 3,25180 1,
3240001025473_250_00,3564786346,6030 1,5680 3,
3240001025473_250_00,3564786346,5970 1,5870 1,
3240001025473_250_00,3564786346,5810 1,5690 1,
3240001025473_250_00,3564786346,5790 2,5880 2,
3240001025473_250_00,3564786346,5800 2,5880 2,
3240001025473_250_00,3564786346,5960 1,5870 1,
3240001025473_250_00,3564786346,5900 1,5800 1,
3240001025473_250_00,3564786346,5890 1,5790 1,
3240001025473_250_00,3564786346,5850 2,5970 2,
3240001025473_250_00,3564786346,5850 2,5940 2,
3240001025473_250_00,3564786346,5690 2,5800 2,
3240001025473_250_00,3564786346,5680 2,5800 2,
3240001025473_250_00,3564786346,5900 1,5790 1,
3240001025473_250_00,3564786346,5860 2,5970 2,
3240001025473_250_00,3564786346,5850 2,5960 2,
3240001025473_250_00,3564786346,5860 2,5940 2,
3240001025473_250_00,3564786346,25180 2,6030 2,
3240001025473_250_00,3564786346,5800 1,5690 1,
3240001025473_250_00,3564786346,5790 1,5690 1,
3240001025473_250_00,3564786346,5900 1,5810 1,
3240001025473_250_00,3564786346,5890 1,5810 1,
3240001025473_250_00,3564786346,5810 2,5880 2,
3240001025473_250_00,3564786346,5950 1,5860 1,
3240001025473_250_00,3564786346,6030 1,25180 1,
3240001025473_250_00,3564786346,5880 1,5790 1,
3240001025473_250_00,3564786346,5860 2,5950 2,
3240001025473_250_00,3564786346,5700 2,5810 2,
3240001025473_250_00,3564786346,5680 2,5790 2,
