table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ko,야마사키바시,5930 1,,
stops,stop_name,zh-cn,山崎桥,5930 1,,
stops,stop_name,zh-tw,山崎橋,5930 1,,
stops,stop_name,ja,山崎橋,5930 2,,
stops,stop_name,ja-Hrkt,やまさきばし,5930 2,,
stops,stop_name,en,Yamasakibashi,5930 2,,
stops,stop_name,ko,야마사키바시,5930 2,,
stops,stop_name,zh-cn,山崎桥,5930 2,,
stops,stop_name,zh-tw,山崎橋,5930 2,,
stops,stop_name,ja,阿戸,5940 1,,
stops,stop_name,ja-Hrkt,あと,5940 1,,
stops,stop_name,en,Ato,5940 1,,
stops,stop_name,ko,아토,5940 1,,
stops,stop_name,zh-cn,阿户,5940 1,,
stops,stop_name,zh-tw,阿戶,5940 1,,
stops,stop_name,ja,阿戸,5940 2,,
stops,stop_name,ja-Hrkt,あと,5940 2,,
stops,stop_name,en,Ato,5940 2,,
stops,stop_name,ko,아토,5940 2,,
stops,stop_name,zh-cn,阿户,5940 2,,
stops,stop_name,zh-tw,阿戶,5940 2,,
stops,stop_name,ja,阿戸出張所,5950 1,,
stops,stop_name,ja-Hrkt,あとしゅっちょうじょ,5950 1,,
stops,stop_name,en,Ato Shutchosho (Ato Branch Office),5950 1,,
stops,stop_name,ko,아토 슛초쇼,5950 1,,
stops,stop_name,zh-cn,阿户办事处,5950 1,,
stops,stop_name,zh-tw,阿戶辦事處,5950 1,,
stops,stop_name,ja,阿戸出張所,5950 2,,
stops,stop_name,ja-Hrkt,あとしゅっちょうじょ,5950 2,,
stops,stop_name,en,Ato Shutchosho (Ato Branch Office),5950 2,,
stops,stop_name,ko,아토 슛초쇼,5950 2,,
stops,stop_name,zh-cn,阿户办事处,5950 2,,
stops,stop_name,zh-tw,阿戶辦事處,5950 2,,
stops,stop_name,ja,長戸路橋,5960 1,,
stops,stop_name,ja-Hrkt,ながとろばし,5960 1,,
stops,stop_name,en,Nagatorobashi,5960 1,,
stops,stop_name,ko,나가토로바시,5960 1,,
stops,stop_name,zh-cn,长户路桥,5960 1,,
stops,stop_name,zh-tw,長戶路橋,5960 1,,
stops,stop_name,ja,長戸路橋,5960 2,,
stops,stop_name,ja-Hrkt,ながとろばし,5960 2,,
stops,stop_name,en,Nagatorobashi,5960 2,,
stops,stop_name,ko,나가토로바시,5960 2,,
stops,stop_name,zh-cn,长户路桥,5960 2,,
stops,stop_name,zh-tw,長戶路橋,5960 2,,
stops,stop_name,ja,阿戸学校,5970 1,,
stops,stop_name,ja-Hrkt,あとがっこう,5970 1,,
stops,stop_name,en,Ato Gakko (Ato School),5970 1,,
stops,stop_name,ko,아토 갓코,5970 1,,
stops,stop_name,zh-cn,阿户学校,5970 1,,
stops,stop_name,zh-tw,阿戶學校,5970 1,,
stops,stop_name,ja,阿戸学校,5970 2,,
stops,stop_name,ja-Hrkt,あとがっこう,5970 2,,
stops,stop_name,en,Ato Gakko (Ato School),5970 2,,
stops,stop_name,ko,아토 갓코,5970 2,,
stops,stop_name,zh-cn,阿户学校,5970 2,,
stops,stop_name,zh-tw,阿戶學校,5970 2,,
stops,stop_name,ja,熊野中筋,5980 1,,
stops,stop_name,ja-Hrkt,くまのなかすじ,5980 1,,
stops,stop_name,en,Kumano Nakasuji,5980 1,,
stops,stop_name,ko,구마노 나카스지,5980 1,,
stops,stop_name,zh-cn,熊野中筋,5980 1,,
stops,stop_name,zh-tw,熊野中筋,5980 1,,
stops,stop_name,ja,熊野中筋,5980 2,,
stops,stop_name,ja-Hrkt,くまのなかすじ,5980 2,,
stops,stop_name,en,Kumano Nakasuji,5980 2,,
stops,stop_name,ko,구마노 나카스지,5980 2,,
stops,stop_name,zh-cn,熊野中筋,5980 2,,
stops,stop_name,zh-tw,熊野中筋,5980 2,,
stops,stop_name,ja,熊野町役場前,5990 1,,
stops,stop_name,ja-Hrkt,くまのちょうやくばまえ,5990 1,,
stops,stop_name,en,Kumano Choyakuba-mae (Kumano Town Office),5990 1,,
stops,stop_name,ko,구마노 정 사무소,5990 1,,
stops,stop_name,zh-cn,熊野町公所前,5990 1,,
stops,stop_name,zh-tw,熊野町公所前,5990 1,,
stops,stop_name,ja,熊野町役場前,5990 2,,
stops,stop_name,ja-Hrkt,くまのちょうやくばまえ,5990 2,,
stops,stop_name,en,Kumano Choyakuba-mae (Kumano Town Office),5990 2,,
stops,stop_name,ko,구마노 정 사무소,5990 2,,
stops,stop_name,zh-cn,熊野町公所前,5990 2,,
stops,stop_name,zh-tw,熊野町公所前,5990 2,,
stops,stop_name,ja,熊野保育所前,6000 1,,
stops,stop_name,ja-Hrkt,くまのほいくしょまえ,6000 1,,
stops,stop_name,en,Kumano Hoikusho-mae (Kumano Nursery),6000 1,,
stops,stop_name,ko,구마노 보육소,6000 1,,
stops,stop_name,zh-cn,熊野保育所前,6000 1,,
stops,stop_name,zh-tw,熊野保育所前,6000 1,,
stops,stop_name,ja,熊野保育所前,6000 2,,
stops,stop_name,ja-Hrkt,くまのほいくしょまえ,6000 2,,
stops,stop_name,en,Kumano Hoikusho-mae (Kumano Nursery),6000 2,,
stops,stop_name,ko,구마노 보육소,6000 2,,
stops,stop_name,zh-cn,熊野保育所前,6000 2,,
stops,stop_name,zh-tw,熊野保育所前,6000 2,,
stops,stop_name,ja,萩原下,6010 1,,
stops,stop_name,ja-Hrkt,はぎわらしも,6010 1,,
stops,stop_name,en,Hagiwara-shimo,6010 1,,
stops,stop_name,ko,하기와라 시모,6010 1,,
stops,stop_name,zh-cn,萩原下,6010 1,,
stops,stop_name,zh-tw,萩原下,6010 1,,
stops,stop_name,ja,萩原下,6010 2,,
stops,stop_name,ja-Hrkt,はぎわらしも,6010 2,,
stops,stop_name,en,Hagiwara-shimo,6010 2,,
stops,stop_name,ko,하기와라 시모,6010 2,,
stops,stop_name,zh-cn,萩原下,6010 2,,
stops,stop_name,zh-tw,萩原下,6010 2,,
stops,stop_name,ja,熊野馬場,6020 1,,
stops,stop_name,ja-Hrkt,くまのばば,6020 1,,
stops,stop_name,en,Kumanobaba（Kumano Eigyosho Homen),6020 1,,
stops,stop_name,ko,구마노바바（구마노 영업소방면),6020 1,,
stops,stop_name,zh-cn,熊野马场熊野营业所方向),6020 1,,
stops,stop_name,zh-tw,熊野馬場（熊野營業所方向),6020 1,,
stops,stop_name,ja,熊野馬場,6020 2,,
stops,stop_name,ja-Hrkt,くまのばば,6020 2,,
stops,stop_name,en,Kumanobaba（Ato Gakko Homen),6020 2,,
stops,stop_name,ko,구마노바바（아토 갓코방면),6020 2,,
stops,stop_name,zh-cn,熊野马场（阿户学校方向),6020 2,,
stops,stop_name,zh-tw,熊野馬場（阿戶學校方向),6020 2,,
stops,stop_name,ja,熊野消防署前,6030 1,,
stops,stop_name,ja-Hrkt,くまのしょうぼうしょまえ,6030 1,,
stops,stop_name,en,Kumano Shobosho-mae (Kumano Fire Station),6030 1,,
stops,stop_name,ko,구마노 소방서,6030 1,,
stops,stop_name,zh-cn,熊野消防署前,6030 1,,
stops,stop_name,zh-tw,熊野消防署前,6030 1,,
stops,stop_name,ja,熊野消防署前,6030 2,,
stops,stop_name,ja-Hrkt,くまのしょうぼうしょまえ,6030 2,,
stops,stop_name,en,Kumano Shobosho-mae (Kumano Fire Station),6030 2,,
stops,stop_name,ko,구마노 소방서,6030 2,,
stops,stop_name,zh-cn,熊野消防署前,6030 2,,
stops,stop_name,zh-tw,熊野消防署前,6030 2,,
stops,stop_name,ja,フジ熊野店,6040 1,,
stops,stop_name,ja-Hrkt,ふじくまのてん,6040 1,,
stops,stop_name,en,Fuji Kumano,6040 1,,
stops,stop_name,ko,후지 구마노,6040 1,,
stops,stop_name,zh-cn,Fuji熊野,6040 1,,
stops,stop_name,zh-tw,Fuji熊野,6040 1,,
stops,stop_name,ja,フジ熊野店,6040 2,,
stops,stop_name,ja-Hrkt,ふじくまのてん,6040 2,,
stops,stop_name,en,Fuji Kumano,6040 2,,
stops,stop_name,ko,후지 구마노,6040 2,,
stops,stop_name,zh-cn,Fuji熊野,6040 2,,
stops,stop_name,zh-tw,Fuji熊野,6040 2,,
