daiya_sid,bin_no,course_sid
592b8b27-68a1-418c-8453-87ffb61b43f0,1,3293150d-c87b-4d31-afdb-5fcc7a7dfb0a
5790af6c-c2b2-4c7f-a329-cb2cdd425a88,2,3293150d-c87b-4d31-afdb-5fcc7a7dfb0a
e83e8d97-04e5-467e-9b22-007cfa229bc9,1,5110461b-e77e-40da-a447-7699f61c67ff
70b24396-a0d5-4494-9e87-01f1959e2f8d,6,5110461b-e77e-40da-a447-7699f61c67ff
bdf8471c-bf4d-4ecd-b298-0909f2e30d20,6,5110461b-e77e-40da-a447-7699f61c67ff
416b27a8-53f7-42eb-8b2e-1e1964aee490,3,5110461b-e77e-40da-a447-7699f61c67ff
3452a67b-5a78-462c-a99c-3d1dbc84857f,5,5110461b-e77e-40da-a447-7699f61c67ff
f07a1bc6-81c9-434d-98eb-41d372b86a6c,3,5110461b-e77e-40da-a447-7699f61c67ff
a3cff51b-2c88-4d8a-8247-c5e26e418e93,3,5110461b-e77e-40da-a447-7699f61c67ff
87c6de81-2593-4912-86cb-ca73ccc001bd,4,5110461b-e77e-40da-a447-7699f61c67ff
7e7ea417-8335-4413-8c6f-7c1e6130a6b6,8,5110461b-e77e-40da-a447-7699f61c67ff
e6dd3165-e592-4e33-b6e6-88c3675663ca,2,5110461b-e77e-40da-a447-7699f61c67ff
ec143306-bdde-4ffd-b71d-dc8d3f511447,2,5110461b-e77e-40da-a447-7699f61c67ff
f65a68cf-37fa-4f2e-8582-e004aa7316de,4,5110461b-e77e-40da-a447-7699f61c67ff
29a2c356-7227-4b16-af5b-a3bcba4a0950,5,5110461b-e77e-40da-a447-7699f61c67ff
26ffd83e-739e-4968-8d0e-c444868a73b0,2,5110461b-e77e-40da-a447-7699f61c67ff
41cfaa52-037d-4d49-a480-8a5763a71ce6,7,5110461b-e77e-40da-a447-7699f61c67ff
a1b8c1f1-6765-4a8a-aa7d-94057cda4f8c,5,5110461b-e77e-40da-a447-7699f61c67ff
7b8b516d-fb85-4e38-a18b-cde550241f5d,1,5110461b-e77e-40da-a447-7699f61c67ff
3573c645-4931-4e73-83cb-dbf161d0a866,4,5110461b-e77e-40da-a447-7699f61c67ff
3025346e-9733-4e94-b5f0-5212cce177f2,6,5110461b-e77e-40da-a447-7699f61c67ff
c2e69ff5-9d1c-4143-b2f1-5d4dc6f9964a,1,5110461b-e77e-40da-a447-7699f61c67ff
d72cec05-43e9-4aa9-9bb2-0c3ccae8d17c,5,25a5927f-c791-4ec2-9d4d-79a56d9466c8
195c433b-bdfb-4098-a02e-0f551d8db087,4,25a5927f-c791-4ec2-9d4d-79a56d9466c8
efa573a2-c202-492d-a139-1bded675b073,4,25a5927f-c791-4ec2-9d4d-79a56d9466c8
782e3127-bc63-489b-95bf-1e5557cacdda,3,25a5927f-c791-4ec2-9d4d-79a56d9466c8
55502a6f-ee1d-42d6-8875-28d387d0d97f,2,25a5927f-c791-4ec2-9d4d-79a56d9466c8
60ac0379-9482-4a60-85c8-4e22e88726d3,4,25a5927f-c791-4ec2-9d4d-79a56d9466c8
c31bdbd5-e1a4-4e54-a64e-a85b233fb6b3,2,25a5927f-c791-4ec2-9d4d-79a56d9466c8
1b77a50f-456b-414a-94be-d5c4fb44a91f,3,25a5927f-c791-4ec2-9d4d-79a56d9466c8
6825f6c9-ecfa-4244-a64e-f7a76c8c5fd1,2,25a5927f-c791-4ec2-9d4d-79a56d9466c8
a227f026-1b6b-49e0-975a-5d7f5987b3f5,1,25a5927f-c791-4ec2-9d4d-79a56d9466c8
f3414365-fa0d-4677-b995-6fc4ffc4e541,1,25a5927f-c791-4ec2-9d4d-79a56d9466c8
f22e021a-0eb0-4b44-bc55-7db646b6800a,1,25a5927f-c791-4ec2-9d4d-79a56d9466c8
ef524379-9e76-4a7d-a460-a5b95a679fab,3,25a5927f-c791-4ec2-9d4d-79a56d9466c8
b6bfcf0a-e56a-494b-bea2-0700280db890,1,590f8eeb-4d5c-43ea-9a3f-7d2220ddee57
29ebe161-40e0-4ef3-b045-9baabf66a5f8,1,590f8eeb-4d5c-43ea-9a3f-7d2220ddee57
43c237ed-ce0b-4c7b-9704-cab7f92420a9,1,590f8eeb-4d5c-43ea-9a3f-7d2220ddee57
e7a95892-faa0-466c-9ff1-1f3678a90d5e,2,0028c231-7c89-4071-9e15-811c3d456b71
607b071e-04c7-423a-bf3b-2ed804e86fbd,2,0028c231-7c89-4071-9e15-811c3d456b71
288fd389-1c27-47da-9d05-35480bb5bafe,4,0028c231-7c89-4071-9e15-811c3d456b71
312e4aff-84dd-4d68-bf43-4131a913675f,1,0028c231-7c89-4071-9e15-811c3d456b71
4b6ff237-2672-4e16-8443-47762434fca2,3,0028c231-7c89-4071-9e15-811c3d456b71
b0afcbbb-d9ab-4ae2-854c-4f72e4fe92d4,3,0028c231-7c89-4071-9e15-811c3d456b71
d40112e8-4828-487e-9e90-5bafe1c71fbc,3,0028c231-7c89-4071-9e15-811c3d456b71
a92b5976-0a56-4937-a8b8-67aa98c65974,1,0028c231-7c89-4071-9e15-811c3d456b71
67223073-b408-40aa-a194-6e68a6fa69a5,2,0028c231-7c89-4071-9e15-811c3d456b71
7d2d5222-e556-492b-a1a5-93b493dfcbaa,1,0028c231-7c89-4071-9e15-811c3d456b71
2d5e1319-705d-4895-8261-b53d9a9778f8,4,0028c231-7c89-4071-9e15-811c3d456b71
7e0bb5e5-4768-4d3b-b9d7-ba99dc6c711e,4,0028c231-7c89-4071-9e15-811c3d456b71
42a70305-dd0b-4c95-9573-d84c1a083d1d,1,44d30ab2-9a38-4ec0-a6a7-85cee11417ec
4e54e81e-572a-42fc-aec0-05a98cc6fa8d,2,24297824-c1f6-4953-b75f-90544aadb490
b33834c5-7ebb-4de6-8c8e-207e222d6c60,5,24297824-c1f6-4953-b75f-90544aadb490
68cca82d-aeb8-48b5-970d-24d7d1315a1c,2,24297824-c1f6-4953-b75f-90544aadb490
3cfe0353-549a-43b1-8bbc-2590f71d074e,3,24297824-c1f6-4953-b75f-90544aadb490
143ad36e-ac0c-4d47-bc3c-52f0d7951702,1,24297824-c1f6-4953-b75f-90544aadb490
5ea6a032-abcf-4e1f-b18a-653c1fa765ad,3,24297824-c1f6-4953-b75f-90544aadb490
957d03c8-f885-4daa-b5d4-f2281fc2149d,4,24297824-c1f6-4953-b75f-90544aadb490
f7dddf74-42b2-4152-8b07-f8fb27dbbea0,4,24297824-c1f6-4953-b75f-90544aadb490
4d0c0167-1e06-428a-af3a-6b8711becc87,1,24297824-c1f6-4953-b75f-90544aadb490
59e8ecb5-458b-4fe4-ac81-970ba5a46bec,1,24297824-c1f6-4953-b75f-90544aadb490
34996dcd-5a9f-4316-b44f-a76d3b702d8e,4,24297824-c1f6-4953-b75f-90544aadb490
253612b8-f357-49a6-ba09-bd28ee703347,5,24297824-c1f6-4953-b75f-90544aadb490
bc2d6c99-1c7d-47df-84d2-d13c2e8c54cb,3,24297824-c1f6-4953-b75f-90544aadb490
9c07825e-98ad-410a-8ae5-d8d92f786c0a,6,24297824-c1f6-4953-b75f-90544aadb490
e7b584d5-3734-4e2e-989d-ddfdc705dc99,2,24297824-c1f6-4953-b75f-90544aadb490
7cc32d7f-8af5-485e-b073-e2c52ce0d453,5,24297824-c1f6-4953-b75f-90544aadb490
1b22821d-cd24-4541-b3ae-15b0ed98d866,3,51d29776-ffcd-44eb-850c-957c9568d99e
c3bce121-18ac-4b74-9d33-27fb401578c5,1,51d29776-ffcd-44eb-850c-957c9568d99e
23ccaf23-f27e-4ec3-9613-2dbfe5ccb9e8,1,51d29776-ffcd-44eb-850c-957c9568d99e
2c1f4d49-0be2-4c52-b509-331318219e92,4,51d29776-ffcd-44eb-850c-957c9568d99e
46c8bf93-0945-4706-8e44-8a4f9f225938,3,51d29776-ffcd-44eb-850c-957c9568d99e
ad3e7709-78a7-44f1-8f21-8d2e4dff83b1,3,51d29776-ffcd-44eb-850c-957c9568d99e
6f25b156-40c8-4eef-a0ff-93dd20edb3c1,2,51d29776-ffcd-44eb-850c-957c9568d99e
d9ff12aa-4566-4352-9c55-9abbefd1ac80,5,51d29776-ffcd-44eb-850c-957c9568d99e
0ff2a595-d1da-4e20-8cf4-a0266d64be10,4,51d29776-ffcd-44eb-850c-957c9568d99e
4acbd654-f5ec-4779-b840-a850b032ac5e,4,51d29776-ffcd-44eb-850c-957c9568d99e
803e3cf2-d631-429d-a142-ab7fce4bc75d,2,51d29776-ffcd-44eb-850c-957c9568d99e
bbaf2b7d-41ac-4a77-8ba3-ba3b86909a28,5,51d29776-ffcd-44eb-850c-957c9568d99e
885f01d7-33a5-400a-a05d-bb2370b466b0,1,51d29776-ffcd-44eb-850c-957c9568d99e
987409d1-6f4d-4764-a838-cdb85276fd6a,2,51d29776-ffcd-44eb-850c-957c9568d99e
0d0600f6-bc2a-4895-bca6-f02f1d944a25,5,51d29776-ffcd-44eb-850c-957c9568d99e
ca42052e-3a09-439d-b52d-544612b7972b,1,ce206515-4b34-4800-89cc-96b0aa1622d4
109da090-76f4-42de-9731-00bd3bffc2b3,1,db69b730-885f-4d0c-9cf6-98abc0653f8b
c7efe5a2-730a-4e14-a334-500fb10a389c,1,db69b730-885f-4d0c-9cf6-98abc0653f8b
13306bdc-1572-46e7-a5c5-a9bda23d5473,2,db69b730-885f-4d0c-9cf6-98abc0653f8b
a1615900-dde6-419c-bd53-aee4fb8f103f,2,db69b730-885f-4d0c-9cf6-98abc0653f8b
22e1a218-4eb8-42ac-808a-bd0d61f6b011,2,db69b730-885f-4d0c-9cf6-98abc0653f8b
c57ad2a2-0b44-4140-838d-e37044350850,1,db69b730-885f-4d0c-9cf6-98abc0653f8b
d305f5cc-7880-4412-8d12-c5df7ce2544e,2,9df19370-651c-4645-b79c-9aedd6244c5b
167d78f5-5578-4cff-a687-dddbdbefd349,1,9df19370-651c-4645-b79c-9aedd6244c5b
c3be38e2-9f05-41b7-9901-373d6256fee9,1,2630611b-7bef-4c16-bf77-b9f15487ed06
88d3fe08-6ca2-4c73-906a-9b5752ceafc6,1,2630611b-7bef-4c16-bf77-b9f15487ed06
b8ad3c23-df82-4722-84c3-ba9d0b6f2dc8,2,2630611b-7bef-4c16-bf77-b9f15487ed06
d0226165-7933-42a1-8ef2-bca83d3fdde2,1,2630611b-7bef-4c16-bf77-b9f15487ed06
beff0151-3b34-4bba-af95-9e97fba13f12,2,7b2164df-5a35-4791-ab3c-be051ef3acca
89362dae-ea14-46ee-9f2e-a1ba094638fd,1,7b2164df-5a35-4791-ab3c-be051ef3acca
71531123-77c7-4c39-ab95-27f2fca33467,1,4d188246-9f08-42ae-b737-c57c18114192
82fc5595-54fc-49cc-85c9-aea7a0a51fd0,2,4d188246-9f08-42ae-b737-c57c18114192
49f22b33-4089-4268-a690-29dbffcf8371,1,75b0aba9-8ee0-45cb-a29e-c77cb7835840
22306f41-7c2d-4fc1-b733-329954e89db8,1,75b0aba9-8ee0-45cb-a29e-c77cb7835840
8611fcf3-baea-4a70-b975-1e0611061822,2,534b2553-7128-404b-97a2-d58f83968177
5e997a47-48c1-4d99-b8a7-3feefb92ade3,4,534b2553-7128-404b-97a2-d58f83968177
74889d09-26fa-412d-bbf0-496225981519,2,534b2553-7128-404b-97a2-d58f83968177
c99c0c4c-2fcf-4a2b-b705-5109fae6432b,1,534b2553-7128-404b-97a2-d58f83968177
b61edc0c-2a66-422e-b87a-5a377116a2b4,1,534b2553-7128-404b-97a2-d58f83968177
e0514a4a-8d0d-4561-aaef-69a58e5e5ec8,3,534b2553-7128-404b-97a2-d58f83968177
5fd41d54-0c67-4afb-9f7a-cdbf6a94cc04,3,534b2553-7128-404b-97a2-d58f83968177
071d9a67-029f-4204-b353-e2070dc7f7fc,2,534b2553-7128-404b-97a2-d58f83968177
2239a9c7-a9f7-42ce-ae4d-f62471ff2672,1,534b2553-7128-404b-97a2-d58f83968177
efd61512-378c-4195-92d9-7a389ad501db,4,534b2553-7128-404b-97a2-d58f83968177
95a13427-962e-4474-b202-8115b4e91805,3,534b2553-7128-404b-97a2-d58f83968177
233df507-b7b1-4a0a-99a3-b62681e6a2c3,5,534b2553-7128-404b-97a2-d58f83968177
84c647f1-8f62-40c3-a0d1-bbbd9ae64ddd,4,534b2553-7128-404b-97a2-d58f83968177
87a499b7-c710-4038-9025-73554ba2d9ed,1,5edb70e4-b8ec-41a8-962f-d9df79f95abc
829ab7c4-6507-446a-b941-782fb97433e6,1,5edb70e4-b8ec-41a8-962f-d9df79f95abc
e013cde7-3619-496c-accd-a5c0fc60399d,1,5edb70e4-b8ec-41a8-962f-d9df79f95abc
0893d403-a313-45d0-8404-0db4bba3e530,1,b9d0f3cb-6e1e-45ed-a564-ee8cfa2717e5
b1e402ba-ecda-4c05-9c2a-3d829c323a0c,1,b9d0f3cb-6e1e-45ed-a564-ee8cfa2717e5
4f2a68a1-914c-4faa-a6d9-8434eb6ee3e4,1,b9d0f3cb-6e1e-45ed-a564-ee8cfa2717e5
dfe9fee8-b9c6-4c09-9e86-0023b0446287,1,01525441-881f-4a1b-9c58-f3dc374d20c4
eaa7c3a5-bdfc-4609-b589-557b7882104e,1,f4ae047c-10b4-41e1-a6a8-f782d701cca0
1d2c25cf-43ee-422e-b35e-59270ef61075,1,2df9067d-93dd-4be3-b68f-fd7d8f13ebf0
