fare_id,route_id,origin_id,destination_id,contains_id
1000020342131_150_00,2400871691,1230 2,1470 2,
1000020342131_150_00,2400871691,1471 1,99111 2,
1000020342131_150_00,2400871691,1170 2,99110 2,
1000020342131_150_00,2400871691,1170 2,1191 2,
1000020342131_150_00,2400871691,1170 2,99113 2,
1000020342131_150_00,2400871691,1170 2,1330 2,
1000020342131_150_00,2400871691,1120 2,1360 2,
1000020342131_150_00,2400871691,1120 2,1140 2,
1000020342131_150_00,2400871691,1390 2,1471 2,
1000020342131_150_00,2400871691,1360 2,1490 2,
1000020342131_150_00,2400871691,1270 2,23970 2,
1000020342131_150_00,2400871691,1320 2,99110 2,
1000020342131_150_00,2400871691,1250 2,1280 2,
1000020342131_150_00,2400871691,1330 2,99113 2,
1000020342131_150_00,2400871691,1190 2,24210 1,
1000020342131_150_00,2400871691,1370 2,1390 2,
1000020342131_150_00,2400871691,1090 2,23970 2,
1000020342131_150_00,2400871691,1090 2,1460 2,
1000020342131_150_00,2400871691,1090 2,1472 2,
1000020342131_150_00,2400871691,1090 2,99113 2,
1000020342131_150_00,2400871691,1210 2,1290 2,
1000020342131_150_00,2400871691,1210 2,1440 2,
1000020342131_150_00,2400871691,1210 2,1380 2,
1000020342131_150_00,2400871691,1210 2,1390 2,
1000020342131_150_00,2400871691,1150 2,23260 2,
1000020342131_150_00,2400871691,1140 2,1240 2,
1000020342131_150_00,2400871691,1075 1,1230 2,
1000020342131_150_00,2400871691,1075 1,1270 2,
1000020342131_150_00,2400871691,1180 2,1471 1,
1000020342131_150_00,2400871691,1100 2,1340 2,
1000020342131_150_00,2400871691,23260 2,1471 2,
1000020342131_150_00,2400871691,1110 2,23970 2,
1000020342131_150_00,2400871691,1110 2,1472 2,
1000020342131_150_00,2400871691,1400 2,1490 2,
1000020342131_150_00,2400871691,1400 2,24210 1,
1000020342131_150_00,3277890833,5020 2,750 50,
1000020342131_150_00,3277890833,99119 2,20930 2,
1000020342131_150_00,3277890833,20930 2,800 50,
1000020342131_150_00,2400871691,1350 1,1170 1,
1000020342131_150_00,2400871691,1350 1,1250 1,
1000020342131_150_00,2400871691,1350 1,1150 1,
1000020342131_150_00,2400871691,1350 1,1200 1,
1000020342131_150_00,2400871691,1471 2,1140 1,
1000020342131_150_00,2400871691,1471 2,1340 1,
1000020342131_150_00,2400871691,1471 2,1200 1,
1000020342131_150_00,2400871691,1471 2,1220 1,
1000020342131_150_00,2400871691,99109 1,1250 1,
1000020342131_150_00,2400871691,1300 1,1280 1,
1000020342131_150_00,2400871691,1300 1,1140 1,
1000020342131_150_00,2400871691,1300 1,1240 1,
1000020342131_150_00,2400871691,1191 1,1090 1,
1000020342131_150_00,2400871691,1191 1,1075 1,
1000020342131_150_00,2400871691,1280 1,1190 1,
1000020342131_150_00,2400871691,1380 1,1160 1,
1000020342131_150_00,2400871691,1380 1,1180 1,
1000020342131_150_00,2400871691,1380 1,1330 1,
1000020342131_150_00,2400871691,1240 1,1100 1,
1000020342131_150_00,2400871691,24210 1,1240 1,
1000020342131_150_00,2400871691,24210 1,1310 1,
1000020342131_150_00,2400871691,24210 1,1150 1,
1000020342131_150_00,2400871691,24210 1,1470 1,
1000020342131_150_00,2400871691,1490 1,1250 1,
1000020342131_150_00,2400871691,1490 1,1150 1,
1000020342131_150_00,2400871691,1370 1,1280 1,
1000020342131_150_00,2400871691,1370 1,1140 1,
1000020342131_150_00,2400871691,1370 1,1160 1,
1000020342131_150_00,2400871691,24210 2,1280 1,
1000020342131_150_00,2400871691,24210 2,1240 1,
1000020342131_150_00,2400871691,24210 2,1460 1,
1000020342131_150_00,2400871691,99111 1,1170 1,
1000020342131_150_00,2400871691,99111 1,1250 1,
1000020342131_150_00,2400871691,99111 1,1150 1,
1000020342131_150_00,2400871691,1170 1,1120 1,
1000020342131_150_00,2400871691,1170 1,1080 1,
1000020342131_150_00,2400871691,1250 1,1190 1,
1000020342131_150_00,2400871691,1250 1,1075 1,
1000020342131_150_00,2400871691,1250 1,1080 1,
1000020342131_150_00,2400871691,1340 1,1140 1,
1000020342131_150_00,2400871691,1340 1,1160 1,
1000020342131_150_00,2400871691,1180 1,1150 1,
1000020342131_150_00,2400871691,1310 1,1300 1,
1000020342131_150_00,2400871691,1310 1,1100 1,
1000020342131_150_00,2400871691,1310 1,1075 1,
1000020342131_150_00,2400871691,1270 1,1250 1,
1000020342131_150_00,2400871691,23970 1,1250 1,
1000020342131_150_00,2400871691,23970 1,1270 1,
1000020342131_150_00,2400871691,23970 1,1290 1,
1000020342131_150_00,2400871691,23970 1,1230 1,
1000020342131_150_00,2400871691,23970 1,1075 1,
1000020342131_150_00,2400871691,1210 1,1075 1,
1000020342131_150_00,2400871691,1440 1,1090 1,
1000020342131_150_00,2400871691,1440 1,1230 1,
1000020342131_150_00,2400871691,1390 1,1170 1,
1000020342131_150_00,2400871691,1390 1,23970 1,
1000020342131_150_00,2400871691,1390 1,1290 1,
1000020342131_150_00,2400871691,99108 1,1210 1,
1000020342131_150_00,2400871691,1320 1,1270 1,
1000020342131_150_00,2400871691,1320 1,1075 1,
1000020342131_150_00,2400871691,99112 1,1490 1,
1000020342131_150_00,2400871691,99112 1,24210 2,
1000020342131_150_00,2400871691,23260 1,1340 1,
1000020342131_150_00,2400871691,23260 1,1200 1,
1000020342131_150_00,2400871691,1472 2,23970 1,
1000020342131_150_00,2400871691,1472 2,1440 1,
1000020342131_150_00,2400871691,1472 2,99108 1,
1000020342131_150_00,2400871691,1472 2,1430 1,
1000020342131_150_00,2400871691,1190 1,1150 1,
1000020342131_150_00,2400871691,1130 1,1075 1,
1000020342131_150_00,2400871691,1150 1,1090 1,
1000020342131_150_00,2400871691,1471 1,1350 1,
1000020342131_150_00,2400871691,1471 1,1471 2,
1000020342131_150_00,2400871691,1471 1,1370 1,
1000020342131_150_00,2400871691,1471 1,1160 1,
1000020342131_150_00,2400871691,1471 1,1340 1,
1000020342131_150_00,2400871691,1471 1,1180 1,
1000020342131_150_00,2400871691,1471 1,1190 1,
1000020342131_150_00,2400871691,1471 1,1360 1,
1000020342131_150_00,2400871691,1471 1,1330 1,
1000020342131_150_00,2400871691,1460 1,1300 1,
1000020342131_150_00,2400871691,1460 1,1280 1,
1000020342131_150_00,2400871691,1460 1,1110 1,
1000020342131_150_00,2400871691,1460 1,1380 1,
1000020342131_150_00,2400871691,1460 1,1370 1,
1000020342131_150_00,2400871691,1460 1,1160 1,
1000020342131_150_00,2400871691,1460 1,1410 1,
1000020342131_150_00,2400871691,1400 1,1270 1,
1000020342131_150_00,2400871691,1400 1,1210 1,
1000020342131_150_00,2400871691,1400 1,1390 1,
1000020342131_150_00,2400871691,1400 1,1290 1,
1000020342131_150_00,2400871691,1200 1,1120 1,
1000020342131_150_00,2400871691,1200 1,1100 1,
1000020342131_150_00,2400871691,99110 1,1170 1,
1000020342131_150_00,2400871691,99110 1,1250 1,
1000020342131_150_00,2400871691,99110 1,1320 1,
1000020342131_150_00,2400871691,99110 1,1220 1,
1000020342131_150_00,2400871691,1290 1,99108 1,
1000020342131_150_00,2400871691,1290 1,1230 1,
1000020342131_150_00,2400871691,1360 1,1160 1,
1000020342131_150_00,2400871691,1470 1,1300 1,
1000020342131_150_00,2400871691,1470 1,1140 1,
1000020342131_150_00,2400871691,1470 1,1120 1,
1000020342131_150_00,2400871691,1430 1,1210 1,
1000020342131_150_00,2400871691,1430 1,1472 2,
1000020342131_150_00,2400871691,1430 1,99113 1,
1000020342131_150_00,2400871691,1430 1,1220 1,
1000020342131_150_00,2400871691,1430 1,1075 1,
1000020342131_150_00,2400871691,1430 1,1080 1,
1000020342131_150_00,2400871691,99113 1,23970 1,
1000020342131_150_00,2400871691,99113 1,1440 1,
1000020342131_150_00,2400871691,99113 1,1390 1,
1000020342131_150_00,2400871691,99113 1,1472 2,
1000020342131_150_00,2400871691,99113 1,1430 1,
1000020342131_150_00,2400871691,1220 1,1090 1,
1000020342131_150_00,2400871691,1220 1,1100 1,
1000020342131_150_00,2400871691,1220 1,1075 1,
1000020342131_150_00,2400871691,1410 1,1340 1,
1000020342131_150_00,2400871691,1330 1,1140 1,
1000020342131_150_00,2400871691,1330 1,1250 1,
1000020342131_150_00,2400871691,1330 1,1150 1,
1000020342131_150_00,1830949550,4983 2,3000 1,
1000020342131_150_00,1830949550,24020 2,5030 2,
1000020342131_150_00,1830949550,3000 1,5040 2,
1000020342131_150_00,1830949550,4981 2,5060 2,
1000020342131_150_00,1830949550,4981 2,5050 2,
1000020342131_150_00,1830949550,2400 2,5090 2,
1000020342131_150_00,730850706,19460 2,800 2,
1000020342131_150_00,730850706,24900 1,2460 2,
1000020342131_150_00,1830949550,5120 1,99105 1,
1000020342131_150_00,1830949550,5100 1,99119 1,
1000020342131_150_00,1830949550,25050 1,25400 1,
1000020342131_150_00,1830949550,25400 1,2400 1,
1000020342131_150_00,1830949550,99106 1,4981 2,
1000020342131_150_00,1830949550,5040 1,25400 1,
1000020342131_150_00,2400871691,99112 2,99111 2,
1000020342131_150_00,2400871691,1040 2,1280 2,
1000020342131_150_00,2400871691,1040 2,1471 1,
1000020342131_150_00,2400871691,23970 2,1472 2,
1000020342131_150_00,2400871691,1290 2,1460 2,
1000020342131_150_00,2400871691,1070 2,99108 2,
1000020342131_150_00,2400871691,1070 2,1130 2,
1000020342131_150_00,2400871691,1070 2,1210 2,
1000020342131_150_00,2400871691,99110 2,1490 2,
1000020342131_150_00,2400871691,99109 2,99110 2,
1000020342131_150_00,2400871691,1300 2,23970 2,
1000020342131_150_00,2400871691,1300 2,1460 2,
1000020342131_150_00,2400871691,1280 2,1471 2,
1000020342131_150_00,2400871691,1280 2,1490 2,
1000020342131_150_00,2400871691,1280 2,1310 2,
1000020342131_150_00,2400871691,1280 2,1340 2,
1000020342131_150_00,2400871691,1280 2,1320 2,
1000020342131_150_00,2400871691,1200 2,1471 2,
1000020342131_150_00,2400871691,1130 2,1390 2,
1000020342131_150_00,2400871691,1050 2,1430 2,
1000020342131_150_00,2400871691,1050 2,1070 2,
1000020342131_150_00,2400871691,1050 2,1280 2,
1000020342131_150_00,2400871691,1050 2,1060 2,
1000020342131_150_00,2400871691,1050 2,1471 1,
1000020342131_150_00,2400871691,1050 2,1250 2,
1000020342131_150_00,2400871691,1050 2,1180 2,
1000020342131_150_00,2400871691,1440 2,99113 2,
1000020342131_150_00,2400871691,1380 2,24210 1,
1000020342131_150_00,2400871691,1310 2,1471 1,
1000020342131_150_00,2400871691,1160 2,1471 1,
1000020342131_150_00,2400871691,1460 2,99112 2,
1000020342131_150_00,2400871691,1340 2,24210 2,
1000020342131_150_00,2400871691,1080 2,1191 2,
1000020342131_150_00,2400871691,1080 2,1390 2,
1000020342131_150_00,2400871691,1080 2,99111 2,
1000020342131_150_00,2400871691,1450 2,99111 2,
1000020342131_150_00,2400871691,1060 2,1430 2,
1000020342131_150_00,2400871691,1060 2,24210 2,
1000020342131_150_00,2400871691,1060 2,1310 2,
1000020342131_150_00,2400871691,1060 2,1340 2,
1000020342131_150_00,2400871691,1060 2,1370 2,
1000020342131_150_00,2400871691,1060 2,1180 2,
1000020342131_150_00,2400871691,1230 2,1300 2,
1000020342131_150_00,2400871691,1230 2,1480 2,
1000020342131_150_00,2400871691,1230 2,1390 2,
1000020342131_150_00,2400871691,1170 2,1280 2,
1000020342131_150_00,2400871691,1170 2,1440 2,
1000020342131_150_00,2400871691,1360 2,1460 2,
