fare_id,route_id,origin_id,destination_id,contains_id
9240001016533_150_00,2662199824,1070 1,1260 1,
9240001016533_150_00,2662199824,1390 1,1580 2,
9240001016533_150_00,2662199824,1390 1,1360 1,
9240001016533_150_00,2662199824,1390 1,1340 2,
9240001016533_150_00,2662199824,1850 1,1150 1,
9240001016533_150_00,2662199824,1850 1,1820 2,
9240001016533_150_00,2662199824,1160 1,1530 2,
9240001016533_150_00,2662199824,1160 1,1520 1,
9240001016533_150_00,2662199824,1340 1,1100 1,
9240001016533_150_00,2662199824,1340 1,1660 1,
9240001016533_150_00,2662199824,1270 1,1120 1,
9240001016533_150_00,2662199824,1430 1,1570 1,
9240001016533_150_00,2662199824,1230 1,1570 1,
9240001016533_150_00,2662199824,1250 1,1160 1,
9240001016533_150_00,2662199824,1440 1,1650 1,
9240001016533_150_00,2662199824,1440 1,1420 1,
9240001016533_150_00,2662199824,1440 1,1710 1,
9240001016533_150_00,2662199824,1440 1,1090 1,
9240001016533_150_00,2662199824,1440 1,1160 1,
9240001016533_150_00,2662199824,1460 1,1150 1,
9240001016533_150_00,2662199824,1460 1,1380 1,
9240001016533_150_00,2662199824,1460 1,1550 1,
9240001016533_150_00,2662199824,1460 1,1370 1,
9240001016533_150_00,2662199824,1460 1,1450 1,
9240001016533_150_00,2662199824,1460 1,1390 1,
9240001016533_150_00,2662199824,1460 1,1672 1,
9240001016533_150_00,2662199824,1420 1,1360 1,
9240001016533_150_00,2662199824,1420 1,1160 1,
9240001016533_150_00,2662199824,1400 1,1120 1,
9240001016533_150_00,2662199824,1470 1,1110 1,
9240001016533_150_00,2662199824,1470 1,1660 1,
9240001016533_150_00,2662199824,1150 1,1120 1,
9240001016533_150_00,2662199824,1100 1,1672 1,
9240001016533_150_00,2662199824,1840 1,1090 1,
9240001016533_150_00,2662199824,1550 1,1710 1,
9240001016533_150_00,2662199824,1550 1,1670 1,
9240001016533_150_00,2662199824,1360 1,1650 1,
9240001016533_150_00,2662199824,1360 1,1710 1,
9240001016533_150_00,2662199824,1360 1,1150 1,
9240001016533_150_00,2662199824,1360 1,1550 1,
9240001016533_150_00,2662199824,1360 1,1560 1,
9240001016533_150_00,2662199824,1350 1,1570 1,
9240001016533_150_00,2662199824,1350 1,1110 1,
9240001016533_150_00,2662199824,1350 1,1260 1,
