trans_id,lang,translation
大原,ko,오하라
大原,zh_cn,大原
大原,zh_tw,大原
大原口,ja,大原口
大原口,en,Oharaguchi
大原口,ja-Hrkt,おおはらぐち
青少年交流の家入口,ja,青少年交流の家入口
青少年交流の家入口,en,Seishonen Koryu no Ie Iriguchi
青少年交流の家入口,ja-Hrkt,せいしょうねんこうりゅうのいえいりぐち
津久茂,ja,津久茂
津久茂,en,Tsukumo
津久茂,ja-Hrkt,つくも
津久茂,ko,쓰쿠모
津久茂,zh_cn,津久茂
津久茂,zh_tw,津久茂
秋月,ja,秋月
秋月,en,Akiduki
秋月,ja-Hrkt,あきづき
秋月桟橋,ja,秋月桟橋
秋月桟橋,en,Akiduki Sanbashi
秋月桟橋,ja-Hrkt,あきづきさんばし
飛渡瀬,ja,飛渡瀬
飛渡瀬,en,Hitonose
飛渡瀬,ja-Hrkt,ひとのせ
一光ハマ前,ja,一光ハマ前
一光ハマ前,en,Ikko Hama-mae
一光ハマ前,ja-Hrkt,いっこうはままえ
