"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id","wheelchair_accessible"
"1_47_20260401","2_1387_20260401","1_1387_154_2_2656_20260401","市出張所",,"1",,,,,"2",
"1_47_20260401","2_1387_20260401","1_1387_154_2_2660_20260401","市出張所",,"1",,,,,"2",
"1_47_20260401","2_1388_20260401","1_1388_154_2_102271_20260401","市出張所",,"1",,,,,"2",
"1_47_20260401","2_1388_20260401","1_1388_154_2_102272_20260401","市出張所",,"1",,,,,"2",
"1_47_20260401","2_1388_20260401","1_1388_154_2_102273_20260401","市出張所",,"1",,,,,"2",
"1_47_20260401","2_1388_20260401","1_1388_154_2_102274_20260401","市出張所",,"1",,,,,"2",
"1_47_20260401","2_1390_20260401","1_1390_154_2_102271_20260401","市出張所",,"1",,,,,"2",
"1_47_20260401","2_1390_20260401","1_1390_154_2_102272_20260401","市出張所",,"1",,,,,"2",
"1_47_20260401","2_1390_20260401","1_1390_154_2_102273_20260401","市出張所",,"1",,,,,"2",
"1_47_20260401","2_1390_20260401","1_1390_154_2_102274_20260401","市出張所",,"1",,,,,"2",
"1_47_20260401","3_1391_20260401","1_1391_154_2_101416_20260401","市出張所",,"1",,,,,"3",
"1_47_20260401","3_1391_20260401","1_1391_154_2_101248_20260401","市出張所",,"1",,,,,"3",
"1_47_20260401","1_1384_20260401","1_1384_183_2_101425_20260401","市出張所",,"1",,,,,"1",
"1_47_20260401","2_1387_20260401","1_1387_183_2_2715_20260401","市出張所",,"1",,,,,"2",
"1_47_20260401","2_1387_20260401","1_1387_183_2_2716_20260401","市出張所",,"1",,,,,"2",
"1_47_20260401","2_1388_20260401","1_1388_183_2_102275_20260401","市出張所",,"1",,,,,"2",
"1_47_20260401","2_1390_20260401","1_1390_183_2_102275_20260401","市出張所",,"1",,,,,"2",
"1_49_20260401","1_1384_20260401","1_1384_85_1_102282_20260401","福山駅前",,"0",,,,,"1",
"1_49_20260401","1_1384_20260401","1_1384_85_1_102292_20260401","福山駅前",,"0",,,,,"1",
"1_49_20260401","1_1384_20260401","1_1384_85_1_102293_20260401","福山駅前",,"0",,,,,"1",
"1_49_20260401","1_1384_20260401","1_1384_85_1_102294_20260401","福山駅前",,"0",,,,,"1",
"1_49_20260401","2_1387_20260401","1_1387_85_1_102277_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1387_20260401","1_1387_85_1_102278_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1387_20260401","1_1387_85_1_102279_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1387_20260401","1_1387_85_1_102280_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1387_20260401","1_1387_85_1_102281_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1387_20260401","1_1387_85_1_102283_20260401","福山駅前",,"0",,,,,"2",
