"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"1_117_2","34.488191666666665","133.4312527777778","97",
"1_117_2","34.48838055555556","133.43134444444445","98",
"1_117_2","34.488391666666665","133.43168055555554","99",
"1_117_2","34.48833055555556","133.43190555555555","100",
"1_117_2","34.48828888888889","133.43213333333333","101",
"1_117_2","34.488058333333335","133.43265","102",
"1_117_2","34.487991666666666","133.43275833333334","103",
"1_117_2","34.48792777777778","133.43285833333334","104",
"1_139_1","34.67500277777778","133.29954166666667","1",
"1_139_1","34.67426944444444","133.29926666666665","2",
"1_139_1","34.67346944444444","133.29919166666667","3",
"1_139_1","34.67346111111111","133.29940555555555","4",
"1_139_1","34.673408333333334","133.29991666666666","5",
"1_139_1","34.673230555555556","133.299975","6",
"1_139_1","34.67316944444445","133.29983611111112","7",
"1_139_1","34.67328611111111","133.29944444444445","8",
"1_139_1","34.673430555555555","133.2994111111111","9",
"1_139_1","34.67343611111111","133.29921944444445","10",
"1_139_1","34.67324166666667","133.2992361111111","11",
"1_140_1","34.67499166666666","133.2995138888889","1",
"1_140_1","34.674347222222224","133.29933055555554","2",
"1_140_1","34.673972222222226","133.299225","3",
"1_140_1","34.67358333333333","133.29919722222223","4",
"1_140_1","34.67348888888889","133.2992277777778","5",
"1_140_1","34.67346666666667","133.29939444444443","6",
"1_140_1","34.67338888888889","133.29996944444446","7",
"1_140_1","34.67326944444444","133.3000111111111","8",
"1_140_1","34.67316666666667","133.29983611111112","9",
"1_140_1","34.673255555555556","133.299475","10",
"1_140_1","34.67340277777778","133.29941666666667","11",
"1_140_1","34.67341944444444","133.2992277777778","12",
"1_140_1","34.67305","133.29927777777777","13",
