trans_id,lang,translation
戸山郵便局前,en,Toyama Yubinkyoku-mae (Toyama Post Office)
戸山郵便局前,ko,도야마 우체국
戸山郵便局前,zh-cn,户山邮局前
戸山郵便局前,zh-tw,戶山郵局前
後山下,ja,後山下
後山下,ja-Hrkt,うしろやましも
後山下,en,Ushiroyama-shimo
後山下,ko,우시로야마 시모
後山下,zh-cn,后山下
後山下,zh-tw,後山下
後山上,ja,後山上
後山上,ja-Hrkt,うしろやまかみ
後山上,en,Ushiroyama-kami
後山上,ko,우시로야마 카미
後山上,zh-cn,后山上
後山上,zh-tw,後山上
後山農協,ja,後山農協
後山農協,ja-Hrkt,うしろやまのうきょう
後山農協,en,Ushiroyama Nokyo
後山農協,ko,우시로야마 노쿄
後山農協,zh-cn,后山农协
後山農協,zh-tw,後山農協
幸の神,ja,幸の神
幸の神,ja-Hrkt,さいのかみ
幸の神,en,Sainokami
幸の神,ko,사이노카미
幸の神,zh-cn,幸之神
幸の神,zh-tw,幸之神
広陵学園入口,ja,広陵学園入口
広陵学園入口,ja-Hrkt,こうりょうがくえんいりぐち
広陵学園入口,en,Koryo Gakuen-iriguchi (Koryo Gakuen School)
広陵学園入口,ko,고료 학원
広陵学園入口,zh-cn,广陵学园入口
広陵学園入口,zh-tw,廣陵學園入口
荒谷,ja,荒谷
荒谷,ja-Hrkt,あらたに
荒谷,en,Aratani
荒谷,ko,아라타니
荒谷,zh-cn,荒谷
荒谷,zh-tw,荒谷
高浜,ja,高浜
高浜,ja-Hrkt,たかはま
高浜,en,Takahama
高浜,ko,다카하마
高浜,zh-cn,高滨
高浜,zh-tw,高濱
才の原,ja,才の原
才の原,ja-Hrkt,さいのはら
才の原,en,Sainohara
才の原,ko,사이노하라
才の原,zh-cn,才之原
才の原,zh-tw,才之原
才の原下,ja,才の原下
才の原下,ja-Hrkt,さいのはらしも
才の原下,en,Sainohara
才の原下,ko,사이노하라 시모
才の原下,zh-cn,才之原下
才の原下,zh-tw,才之原下
細坂上,ja,細坂上
細坂上,ja-Hrkt,ほそさかかみ
細坂上,en,Hososaka-kami
細坂上,ko,호소사카 카미
細坂上,zh-cn,细坂上
細坂上,zh-tw,細阪上
桜が峠口,ja,桜が峠口
桜が峠口,ja-Hrkt,さくらがだおぐち
桜が峠口,en,Sakuraga-dao-guchi
桜が峠口,ko,사쿠라가다오 구치
桜が峠口,zh-cn,樱峠口
桜が峠口,zh-tw,櫻峠口
三国分れ,ja,三国分れ
三国分れ,ja-Hrkt,みくにわかれ
三国分れ,en,Mikuni-wakare
三国分れ,ko,미쿠니 와카레
三国分れ,zh-cn,三国分
三国分れ,zh-tw,三國分
三菱団地入口,ja,三菱団地入口
三菱団地入口,ja-Hrkt,みつびしだんちいりぐち
三菱団地入口,en,Mitsubishi Danchi-iriguchi
三菱団地入口,ko,미쓰비시 단치
三菱団地入口,zh-cn,三菱团地入口
