trans_id,lang,translation
坪井,ja-Hrkt,つぼい
日付,ja,日付
日付,ja-Hrkt,ひづけ
日付,en,Hizuke
日付,ko,히즈케
日付,zh-cn,日付
日付,zh-tw,日付
美化センター,ja,美化センター
美化センター,ja-Hrkt,びかせんたー
美化センター,en,Bika Center
美化センター,ko,비카 센터
美化センター,zh-cn,美化中心
美化センター,zh-tw,美化中心
下光友,ja,下光友
下光友,ja-Hrkt,しもみつとも
下光友,en,Shimo-mitsutomo
下光友,ko,시모미쓰토모
下光友,zh-cn,下光友
下光友,zh-tw,下光友
渡子,ja,渡子
渡子,ja-Hrkt,とのこ
渡子,en,Tonoko
渡子,ko,도노코
渡子,zh-cn,渡子
渡子,zh-tw,渡子
前の浜,ja,前の浜
前の浜,ja-Hrkt,まえのはま
前の浜,en,Maenohama
前の浜,ko,마에노하마
前の浜,zh-cn,前之滨
前の浜,zh-tw,前之濱
雇用促進住宅渡子前,ja,雇用促進住宅渡子前
雇用促進住宅渡子前,ja-Hrkt,こようそくしんじゅうたくとのこ
雇用促進住宅渡子前,en,Koyo Sokushin Jutaku Tonoko-mae
雇用促進住宅渡子前,ko,고요 소쿠신 주타쿠 토노코 마에
雇用促進住宅渡子前,zh-cn,雇用促进住宅渡子前
雇用促進住宅渡子前,zh-tw,雇用促進住宅渡子前
後口,ja,後口
後口,ja-Hrkt,うしろぐち
後口,en,Ushiro-guchi
後口,ko,우시로구치
後口,zh-cn,后口
後口,zh-tw,後口
田原桟橋,ja,田原桟橋
田原桟橋,ja-Hrkt,たはらさんばし
田原桟橋,en,Tahara Sambashi (Tahara Pier)
田原桟橋,ko,다하라 산바시
田原桟橋,zh-cn,田原栈桥
田原桟橋,zh-tw,田原棧橋
五反田,ja,五反田
五反田,ja-Hrkt,ごたんだ
五反田,en,Gotanda
五反田,ko,고탄다
五反田,zh-cn,五反田
五反田,zh-tw,五反田
田原,ja,田原
田原,ja-Hrkt,たはら
田原,en,Tahara
田原,ko,다하라
田原,zh-cn,田原
田原,zh-tw,田原
コドウラ,ja,コドウラ
コドウラ,ja-Hrkt,こどうら
コドウラ,en,Kodoura
コドウラ,ko,고도우라
コドウラ,zh-cn,KODOURA
コドウラ,zh-tw,KODOURA
流田,ja,流田
流田,ja-Hrkt,ながれだ
流田,en,Nagareda
流田,ko,나가레다
流田,zh-cn,流田
流田,zh-tw,流田
早瀬大橋北,ja,早瀬大橋北
早瀬大橋北,ja-Hrkt,はやせおおはしきた
早瀬大橋北,en,Hayase-ohashi-kita
早瀬大橋北,ko,하야세 오하시 키타
早瀬大橋北,zh-cn,早濑大桥北
早瀬大橋北,zh-tw,早瀨大橋北
早瀬大橋,ja,早瀬大橋
早瀬大橋,ja-Hrkt,はやせおおはし
早瀬大橋,en,Hayase-ohashi
早瀬大橋,ko,하야세 오하시
早瀬大橋,zh-cn,早濑大桥
早瀬大橋,zh-tw,早瀨大橋
早瀬桟橋前,ja,早瀬桟橋前
早瀬桟橋前,ja-Hrkt,はやせさんばしまえ
早瀬桟橋前,en,Hayase Sambashi-mae
早瀬桟橋前,ko,하야세 산바시 마에
