stop_id,direction
80104 1,呉駅方面
80104 2,阿賀方面
80105 1,呉駅方面
80105 2,阿賀方面
80106 1,冠崎・阿賀方面
80107 1,呉駅方面
80107 2,阿賀方面
80108 1,呉駅方面
80108 2,阿賀方面
80110 1,呉駅方面
80110 2,見晴町方面
80111 1,呉駅方面
80111 2,見晴町方面
80112 1,呉駅方面
80140 1,呉駅方面
80140 2,広方面
80141 1,呉駅方面
80141 2,広方面、宮原方面
80142 1,呉駅方面
80142 2,広方面
80143 1,呉駅方面
80143 2,広方面
80144 1,呉駅方面
80144 2,広方面
80145 1,呉駅方面
80145 2,広方面
80146 1,呉駅方面
80146 2,広方面
80147 1,呉駅方面
80147 2,広方面
80156 2,広方面
80156 3,呉駅・冠崎方面
80160 2,広方面
80161 1,おりば
80161 2,郷原・長浜方面
80163 1,呉駅方面
80163 2,広方面
80165 1,呉駅方面
80165 2,仁方方面
80167 1,呉駅方面
80167 2,仁方方面
80169 1,呉駅方面
80169 2,仁方方面
80169 3,白石白岳交叉点循環線 左回り
80169 4,白石白岳交叉点循環線 右回り
80170 1,呉駅方面
80170 2,仁方方面
80171 1,呉駅方面
80171 2,仁方方面
80172 1,呉駅方面
80172 2,仁方方面
80173 1,呉駅方面
80173 2,仁方方面
80174 1,呉駅方面
80174 2,川尻方面
80175 1,呉駅方面
80175 2,川尻方面
80176 1,呉駅方面
80176 2,川尻方面
80177 1,呉駅方面
80177 2,川尻方面
80178 1,呉駅方面
80178 2,川尻方面
80179 1,呉駅方面
80179 2,川尻方面
80180 1,呉駅方面
80180 2,川尻方面
80181 1,呉駅方面
80181 2,川尻方面
80182 1,呉駅方面
80182 2,川尻方面
80183 1,呉駅方面
80183 2,川尻方面
80184 1,呉駅方面
80184 2,川尻方面
80185 1,呉駅方面
80185 2,川尻方面
80185 3,川尻駅
80186 1,呉駅方面
80186 2,
80189 1,呉駅方面
80189 2,小須磨方面
80190 1,呉駅方面
80190 2,小須磨方面
80191 1,呉駅方面
80191 2,小須磨方面
80192 1,呉駅方面
80192 2,
80193 1,三条二河宝町線（左回り）
80193 2,呉駅方面，三条二河宝町線（右回り）
80213 1,呉駅方面
80213 2,長浜方面
80214 1,呉駅方面
80214 2,長浜方面
80215 1,呉駅方面
80215 2,長浜方面
80216 1,呉駅方面
80216 2,東小坪方面
80217 1,呉駅方面
80217 2,東小坪方面
80218 1,呉駅方面
80218 2,東小坪方面
80219 1,呉駅方面
80219 2,東小坪方面
80220 1,呉駅方面
80220 2,東小坪方面
80221 1,呉駅方面
80221 2,東小坪方面
80222 1,呉駅方面
80222 2,
80230 2,郷原方面
80231 2,郷原方面
80232 2,郷原方面
80233 2,郷原方面
80234 2,郷原方面
80235 2,郷原方面
80303 1,右回り
80303 2,熊野方面
80307 2,熊野方面
80308 3,昭和循環線（南コース）
80309 2,熊野方面
80310 3,昭和循環線（南コース）2回目
80310 4,昭和循環線（南コース）1回目
80313 2,熊野方面
80329 1,呉駅方面
80329 2,苗代方面
80330 1,呉駅方面
80330 2,苗代方面
80331 1,呉駅方面
80331 2,苗代方面
80337 1,焼山・呉駅方面
80337 2,苗代方面
80338 1,焼山・呉駅方面
80338 2,苗代方面
80339 2,苗代方面
80354 1,呉駅方面　2回目
80354 2,神山峠方面　1回目
80354 3,呉駅方面　1回目
80354 4,神山峠方面　2回目
80355 1,呉駅方面
80355 2,神山峠方面
80356 1,呉駅方面
80356 2,神山峠方面
80357 1,呉駅方面
80357 2,神山峠方面
80358 1,
80358 2,本通・呉駅方面
80358 3,北原方面
80358 4,苗代方面
80359 1,本通・呉駅方面
80359 2,苗代方面
80360 1,本通・呉駅方面
80360 2,苗代方面
80361 1,本通・呉駅方面
80361 2,苗代方面
80362 1,本通・呉駅方面
80362 2,苗代方面
80363 1,本通・呉駅方面
80363 2,苗代方面
80364 1,本通・呉駅方面
80364 2,苗代方面
80365 1,本通・呉駅方面
80365 2,苗代方面
80366 1,本通・呉駅方面
80366 2,苗代方面
80367 1,本通・呉駅方面
80367 2,苗代方面
80368 1,本通・呉駅方面
80368 2,苗代方面
80369 1,本通・呉駅方面
80369 2,苗代方面
80370 1,本通・呉駅方面
80370 2,苗代方面
80407 2,中倉方面
80408 2,中倉方面
80443 1,呉駅方面（今西通り），左回り
80443 2,熊野方面（今西通り），右回り
80446 3,呉駅方面（蔵本通り）
80446 4,熊野・辰川方面
80447 1,呉駅方面
80447 2,阿賀・東畑方面
80450 1,呉駅方面
80450 2,熊野・辰川方面
80452 1,呉市内左回り
80452 2,辰川方面，呉市内右回り
80462 2,長迫・本通６丁目方面
80463 1,左回り
80463 2,右回り
80464 1,左回り
80464 2,右回り
80465 1,左回り
80465 2,右回り
80466 1,左回り
80466 2,右回り
80467 1,左回り
80467 2,右回り
80468 1,左回り
80468 2,右回り
80469 1,左回り
80469 2,右回り
80470 2,右回り
80471 1,左回り
80471 2,右回り
80477 1,呉駅方面
80481 1,左回り
80481 2,右回り
80483 1,左回り
80484 1,左回り
80484 2,右回り
80485 1,左回り
80485 2,右回り
80486 1,左回り
80486 2,右回り
80487 1,呉駅方面
80487 2,倉橋島方面
89172 1,小須磨、日鉄日新製鋼方面
89201 1,
89202 1,中国労災病院方面
89202 2,安浦駅方面
89202 3,黒瀬方面
89202 4,安浦駅方面（御幸橋側）
89203 1,中国労災病院方面
89203 2,安浦駅方面
89204 1,中国労災病院方面
89205 1,中国労災病院方面
89205 2,安浦駅方面
89206 1,中国労災病院方面
89206 2,安浦駅方面
89207 1,中国労災病院方面
89207 2,安浦駅方面
89208 1,安浦駅方面
89208 2,中国労災病院方面
89209 1,中国労災病院方面
89209 2,安浦駅方面
89210 1,中国労災病院方面
89210 2,安浦駅方面
89211 1,中国労災病院方面
89211 2,安浦駅方面
89250 1,広駅方面1回目（病院内）
89250 2,虹村方面
89250 3,広駅方面2回目
89251 1,
89251 2,右回り
89252 1,左回り
89252 2,右回り
89253 1,左回り
89253 2,右回り
89254 1,左回り
89254 2,右回り
89255 1,左回り
89255 2,右回り
89256 1,左回り
89256 2,右回り
89257 1,左回り
89257 2,右回り
89258 1,左回り
89258 2,右回り
89259 1,
89260 1,
89261 1,
89262 1,
89263 1,
89264 1,
89265 1,
89266 1,
89267 1,
89268 1,
89269 1,
89270 1,
89271 1,
89272 1,
89273 1,
89274 1,
89275 1,
89276 1,
89277 1,
89278 1,熊野方面
89278 2,呉方面
89279 1,
89280 1,熊野方面
89280 2,呉方面
89281 1,
89282 1,
89283 1,
89284 1,
89285 1,
89286 1,
89287 1,
89288 1,
89289 1,
89290 1,
89291 1,
89292 1,
89293 1,
89294 1,
89295 1,
89296 1,
89297 1,
89298 1,
89299 1,
89301 1,熊野方面
89301 2,呉方面
89302 1,熊野方面
89302 2,呉方面
89303 1,
89305 1,
89306 1,
89307 1,
89308 1,
89309 1,
89310 1,
89311 1,
89312 1,
89313 1,
89314 1,
89315 1,
89316 1,大向・重生方面
